Time,P_grid,P_sell,P_ch,P_dis,P_demand,E,R_ch,R_dis,SOH,Q_loss,N_cycle,u_grid,u_sell,u_ch,u_dis,Q_loss_cyc,FEC,DOD,P_shift_up_1,u_shift_up_1,P_shift_up_2,u_shift_up_2,P_shift_up_3,u_shift_up_3,P_shift_up_4,u_shift_up_4,P_shift_up_5,u_shift_up_5,P_shift_up_6,u_shift_up_6,P_shift_up_7,u_shift_up_7,P_shift_up_8,u_shift_up_8
82,1.4,0.0,0.0,0.0,0.7,0.18421053,0.0,0.0,4.939450091050437,,0.5,1.0,0.0,0.0,0.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
83,1.4,0.0,0.0,0.0,0.7,0.18421053,0.0,0.0,4.939450091050437,,0.5,1.0,0.0,0.0,1.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
84,1.4,0.0,0.0,0.0,0.7,0.18421053,0.0,0.0,4.939450091050437,,0.5,1.0,0.0,0.0,0.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
85,1.4,0.0,0.0,0.0,0.7,0.18421053,0.0,0.0,4.939450091050437,,0.5,1.0,0.0,0.0,0.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
86,1.4,0.0,0.0,0.0,0.7,0.18421053,0.0,0.0,4.939450091050437,,0.5,1.0,0.0,0.0,0.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
87,1.225,0.0,0.0,0.175,0.7,1.7347235e-17,0.0,0.036842105,4.939450091050437,,0.5,1.0,0.0,0.0,1.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
88,1.4,0.0,0.0,-3.7704392e-18,0.7,0.0,0.0,0.0,4.939450091050437,,0.5,1.0,0.0,0.0,1.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
89,4.2,0.0,0.0,0.0,2.1,0.0,0.0,0.0,4.939450091050437,,0.5,1.0,0.0,0.0,0.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.0,0.2,1.0,0.5,1.0
90,1.4,0.0,0.0,0.0,0.7,0.0,0.0,0.0,4.939450091050437,,0.5,1.0,0.0,0.0,0.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
91,1.4,0.0,0.0,0.0,0.7,0.0,0.0,0.0,4.939450091050437,,0.5,1.0,0.0,0.0,0.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
92,1.4,0.0,0.0,0.0,0.7,0.0,0.0,0.0,4.939450091050437,,0.5,1.0,0.0,0.0,0.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
93,1.4,0.0,0.0,0.0,0.7,0.0,0.0,0.0,4.939450091050437,,0.5,1.0,0.0,0.0,0.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
94,1.4,0.0,0.0,0.0,0.7,0.0,0.0,0.0,4.939450091050437,,0.5,1.0,0.0,0.0,0.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
95,1.4,0.0,0.0,0.0,0.7,0.0,0.0,0.0,4.939450091050437,,0.5,1.0,0.0,0.0,0.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
96,1.4,0.0,0.0,0.0,0.7,0.0,0.0,0.0,4.939450091050437,,0.5,1.0,0.0,0.0,0.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
