Time,P_grid,P_sell,P_ch,P_dis,P_demand,E,R_ch,R_dis,SOH,Q_loss,N_cycle,u_grid,u_sell,u_ch,u_dis,Q_loss_cyc,FEC,DOD,P_shift_up_1,u_shift_up_1,P_shift_up_2,u_shift_up_2,P_shift_up_3,u_shift_up_3,P_shift_up_4,u_shift_up_4,P_shift_up_5,u_shift_up_5,P_shift_up_6,u_shift_up_6,P_shift_up_7,u_shift_up_7,P_shift_up_8,u_shift_up_8
28,4.4,0.0,0.0,0.0,2.2,2.0,0.0,0.0,4.939450091050437,,0.5,1.0,0.0,0.0,0.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
29,4.4,0.0,0.0,0.0,2.2,2.0,0.0,0.0,4.939450091050437,,0.5,1.0,0.0,0.0,0.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
30,4.5263158,0.0,0.12631579,0.0,2.2,2.12,0.024,0.0,4.939450091050437,,0.5,1.0,0.0,1.0,0.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
31,4.6,0.0,0.2,0.0,2.2,2.31,0.038,0.0,4.939450091050437,,0.5,1.0,0.0,1.0,0.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
32,4.6,0.0,0.2,0.0,2.2,2.5,0.038,0.0,4.939450091050437,,0.5,1.0,0.0,1.0,0.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
33,1.4,0.0,0.0,0.0,0.7,2.5,0.0,0.0,4.939450091050437,,0.5,1.0,0.0,0.0,0.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
34,1.4,0.0,0.0,0.0,0.7,2.5,0.0,0.0,4.939450091050437,,0.5,1.0,0.0,0.0,0.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
35,1.4,0.0,0.0,0.0,0.7,2.5,0.0,0.0,4.939450091050437,,0.5,1.0,0.0,0.0,0.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
36,1.4,0.0,0.0,0.0,0.7,2.5,0.0,0.0,4.939450091050437,,0.5,1.0,0.0,0.0,0.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
37,7.8006572,0.0,0.0,0.0,4.2,2.5,0.0,0.0,4.939450091050437,,0.5,1.0,0.0,0.0,0.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
38,7.9276529,0.0,0.0,0.0,4.2,2.5,0.0,0.0,4.939450091050437,,0.5,1.0,0.0,0.0,1.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
39,3.7704623,0.0,0.0,0.0,2.2,2.5,0.0,0.0,4.939450091050437,,0.5,1.0,0.0,0.0,0.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
40,3.595394,0.0,0.0,0.0,2.2,2.5,0.0,0.0,4.939450091050437,,0.5,1.0,0.0,0.0,0.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
41,7.9468307,0.0,0.0,0.0,4.2,2.5,0.0,0.0,4.939450091050437,,0.5,1.0,0.0,0.0,0.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
42,3.9468274,0.0,0.0,0.0,2.2,2.5,0.0,0.0,4.939450091050437,,0.5,1.0,0.0,0.0,0.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
43,9.9841574,0.0,0.0,0.0,5.4,2.5,0.0,0.0,4.939450091050437,,0.5,1.0,0.0,0.0,0.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,1.5,1.0,0.0,0.0,3.2,1.0,0.0,0.0,0.2,1.0,0.5,1.0
44,7.1465131,0.0,0.0,0.0,3.9,2.5,0.0,0.0,4.939450091050437,,0.5,1.0,0.0,0.0,0.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,1.0,0.0,0.0,0.2,1.0,0.5,1.0
45,0.79389488,0.0,0.0,0.2,0.7,2.2894737,0.0,0.042105263,4.939450091050437,,0.5,1.0,0.0,0.0,1.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
